name;type;carrier;tech;capacity;capacity_cost;marginal_cost;efficiency;from_bus;to_bus;age;lifetime
power2heat;conversion;electricity;pth;6600;13;0.0009;0.99;electricity;heat;10;20
boiler;conversion;gas;boiler;76000;8;0.0006;0.99;gas;heat;29;25
